task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-sanitize-10-r0-00,issuer10,x10,4,"[""d10""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-sanitize-10-r0-01,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-sanitize-10-r0-02,issuer7,x07,5,"[""d07""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-sanitize-10-r0-03,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-sanitize-10-r0-04,issuer10,x10,4,"[""d10""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-sanitize-10-r0-05,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-sanitize-10-r0-06,issuer4,x04,4,"[""d04""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-sanitize-10-r0-07,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-sanitize-10-r0-08,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-sanitize-10-r0-09,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-sanitize-10-r0-10,issuer3,x03,4,"[""d03""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-sanitize-10-r0-11,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-sanitize-10-r0-12,issuer9,x09,5,"[""d09""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-sanitize-10-r0-13,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-sanitize-10-r0-14,issuer6,x06,4,"[""d06""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-sanitize-10-r0-15,issuer2,x02,5,"[""d02""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-sanitize-10-r0-16,issuer4,x04,4,"[""d04""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-sanitize-10-r0-17,issuer6,x06,4,"[""d06""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-sanitize-10-r0-18,issuer1,x01,4,"[""d01""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-sanitize-10-r0-19,issuer7,x07,5,"[""d07""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-sanitize-10-r0-20,issuer3,x03,4,"[""d03""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-sanitize-10-r0-21,issuer10,x10,4,"[""d10""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-sanitize-10-r0-22,issuer6,x06,4,"[""d06""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-sanitize-10-r0-23,issuer7,x07,5,"[""d07""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-sanitize-10-r0-24,issuer7,x07,5,"[""d07""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-sanitize-10-r0-25,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-sanitize-10-r0-26,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-sanitize-10-r0-27,issuer8,x08,6,"[""d08""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-sanitize-10-r0-28,issuer3,x03,4,"[""d03""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-sanitize-10-r0-29,issuer5,x05,5,"[""d05""]","{""evalprop"": 1}",evalgeo,29.0
