task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
0,eval-conflicts-rho005-r7-000,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,0.0
1,eval-conflicts-rho005-r7-001,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,1.0
2,eval-conflicts-rho005-r7-002,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,2.0
3,eval-conflicts-rho005-r7-003,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,3.0
4,eval-conflicts-rho005-r7-004,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,4.0
5,eval-conflicts-rho005-r7-005,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,5.0
6,eval-conflicts-rho005-r7-006,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,6.0
7,eval-conflicts-rho005-r7-007,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,7.0
8,eval-conflicts-rho005-r7-008,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,8.0
9,eval-conflicts-rho005-r7-009,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,9.0
10,eval-conflicts-rho005-r7-010,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,10.0
11,eval-conflicts-rho005-r7-011,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,11.0
12,eval-conflicts-rho005-r7-012,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,12.0
13,eval-conflicts-rho005-r7-013,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,13.0
14,eval-conflicts-rho005-r7-014,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,14.0
15,eval-conflicts-rho005-r7-015,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,15.0
16,eval-conflicts-rho005-r7-016,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,16.0
17,eval-conflicts-rho005-r7-017,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,17.0
18,eval-conflicts-rho005-r7-018,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,18.0
19,eval-conflicts-rho005-r7-019,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,19.0
20,eval-conflicts-rho005-r7-020,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,20.0
21,eval-conflicts-rho005-r7-021,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,21.0
22,eval-conflicts-rho005-r7-022,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,22.0
23,eval-conflicts-rho005-r7-023,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,23.0
24,eval-conflicts-rho005-r7-024,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,24.0
25,eval-conflicts-rho005-r7-025,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,25.0
26,eval-conflicts-rho005-r7-026,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,26.0
27,eval-conflicts-rho005-r7-027,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,27.0
28,eval-conflicts-rho005-r7-028,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,28.0
29,eval-conflicts-rho005-r7-029,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,29.0
30,eval-conflicts-rho005-r7-030,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,30.0
31,eval-conflicts-rho005-r7-031,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,31.0
32,eval-conflicts-rho005-r7-032,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,32.0
33,eval-conflicts-rho005-r7-033,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,33.0
34,eval-conflicts-rho005-r7-034,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,34.0
35,eval-conflicts-rho005-r7-035,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,35.0
36,eval-conflicts-rho005-r7-036,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,36.0
37,eval-conflicts-rho005-r7-037,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,37.0
